Q_Id,sentence-Devanagari-transcription,sentence-English-Latin-translation
D24a,आबु एन हो को नेनता काबु बेटा इचि कोआ,We should stop those men from reaching here.
D24b,एनको नेनता: काबु बेटा इचि कोआ,We should stop them from reaching here.
D24c,एनको नेनता: काबु बेटा इचि कोआ,We should stop those from reaching here.
D25a,एन ओआ: आलेया हातुरे का हुजुए,Those houses are not part in our village.
D25c,एन ओआ: आलेया हातुरे का हुजुए,Those houses are not part of our village.
D25b,एना आलेया हातुरे का हुजुए,Those are not part of our village.
D25d,एना आलेया हातुरे का हुजुए,Those are not part in our village.
D26a,एन हापानुम लो पोन रेञ जागार केना,I talked to that girl on the phone.
D26b,आए लो पोन रेञ जागार केना,I talked to that on the phone.
D26b,आए लो पोन रेञ जागार केना,I talked to that on the phone.
D27a,एन हो दिलिते हुजूए,That man will come from Delhi.
D27b,आए दिलिते हुजुए,That will come from Delhi.
D27c,आए दिलिते हुजुए,He will come from Delhi.
D28a,,The company will send that packet to Calcutta.
D28b,कंपनि पाएते कलकता को कुलिए,The company will send that to Calcutta.
D29a,एन कुइ होन को तिसिंग काको हुजुए,Those girls have not come today.
D29b,एनको तिसिंग काको हुजुए,Those have not come today.
D29c,तिसिंग काए हुजु लेना,They have not come today.
D30a,आइंग सेनोयन हाटो बाजर रे एन हो कोआ लागिड काजि कोइंग आयुमेडे,I heard about those men at the market last week.
D30b,आइंग सेनोयन हाटो बाजर रे एन हो कोआ लागिड काजि कोइंग आयुमेडे,I heard about those at the market last week.
D30c,आइंग सेनोयन हाटो बाजर रे एनकोआ लागिड काजि कोइंग आयुमेडे,I heard about them at the market last week.
D31a,आए एन पुतिको ओआ: रे बागे ताडा,He left those books at home.
D31b,आए एनको ओआ: रे बागे ताड कोआ,He left those at home.
D32,साबिन ओआ: रे मियड सेता मेनाइए,Every house has a dog.
D33a,आबेन साबीन कोलो: काबेन बेपटा दाइए,You will not be able to meet everybody.
D33b,आम साबीन को लो काम बेपटा दाइए,You will not be able to meet everybody.
D34,आए आइंगता साबिने काजि केडा,She told me everything.
D35,साबिन कुइ होन को किलास रे को हुजु लेना,All the girls came to the class.
D36,जान हो आए ता काजि केडा चि आए एसु चेरा मेनाइए,Some man told her that she is beautiful.
