Id,Prompt,Completion
1,ᱰᱩᱵᱟᱹᱧ ᱢᱟᱲᱟᱝ ᱨᱮ ᱴᱤᱭᱮᱴ ᱵᱮᱱᱟᱣ ᱨᱮᱭᱟᱜ ᱯᱳᱭᱞᱳ ᱦᱚᱨᱟ ᱫᱚ ᱪᱮᱫ?,"ᱰᱤᱥᱤᱱᱮᱯᱷᱮᱴᱮᱱᱴ ᱵᱮᱣᱦᱟᱨ ᱢᱟᱲᱟᱝ ᱧᱮᱞᱟᱱ ᱢᱮᱲᱟᱹᱜ ᱠᱚ ᱪᱷᱟᱹᱲ ᱞᱟᱹᱜᱤᱫ ᱜᱳᱣ ᱨᱮᱭᱟᱜ ᱴᱤᱭᱚᱴ ᱠᱷᱚᱱ ᱡᱟᱦᱟᱸ ᱞᱮᱠᱟᱱ ᱵᱮᱼᱲᱤᱪᱟᱹᱨ ᱢᱮᱱᱟᱜᱼᱟ, ᱚᱱᱟ ᱰᱨᱟᱭ ᱢᱮ ᱾"
2,ᱰᱩᱞᱟᱝ ᱢᱟᱲᱟᱝ ᱨᱮ ᱰᱩᱞᱟᱝ ᱠᱚᱨᱟᱣ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱪᱮᱫ ᱚᱡᱮᱛᱮ?,ᱯᱨᱤᱼᱰᱤᱯᱤᱝ ᱴᱮᱹᱴ ᱪᱮᱛᱟᱱ ᱨᱮ ᱵᱮᱠᱴᱮᱨᱤᱭᱟ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱟᱨ ᱫᱟᱹᱨᱩ ᱨᱮᱭᱟᱜ ᱜᱩᱛᱚᱱ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱟᱹᱜᱤᱫ ᱡᱮᱹᱢᱤᱥᱤᱰᱟᱞ ᱥᱚᱞᱩᱭᱥᱚᱱ (ᱡᱮᱞᱮᱠᱟ ᱟᱭᱳᱰᱤᱱ ᱥᱮ ᱠᱞᱳᱨᱦᱮᱠᱤᱥᱤᱫᱤᱱ) ᱵᱮᱣᱦᱟᱨᱼᱟ ᱾
3,ᱢᱤᱫᱴᱟᱝ ᱢᱟᱲᱟᱝᱼᱰᱤᱯ ᱴᱤᱭᱮᱴ ᱪᱮᱛᱟᱱ ᱨᱮ ᱦᱟᱛᱟᱣ ᱞᱟᱦᱟᱨᱮ ᱛᱤᱱᱟᱹᱜ ᱚᱠᱛᱚ ᱫᱷᱟᱹᱵᱤᱡ ᱛᱟᱦᱮᱸᱱ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,"ᱥᱟᱫᱷᱟᱨᱚᱱ ᱞᱮᱠᱟᱛᱮ ᱚᱱᱢᱟᱱ 30 ᱥᱟᱭᱠᱤᱱᱰ, ᱵᱟᱝᱠᱷᱟᱱ ᱵᱮᱱᱟᱣᱤᱡ ᱞᱮᱠᱟᱛᱮ, ᱮᱥᱮᱨᱟᱱ ᱡᱮᱹᱢᱤᱥᱤᱫᱟᱞ ᱮᱠᱥᱚᱱ ᱜᱚᱴᱟ ᱞᱟᱹᱜᱤᱫ ᱾"
4,ᱴᱤᱭᱮᱴ ᱵᱮᱱᱟᱣ ᱛᱟᱭᱚᱢ ᱚᱠᱟ ᱚᱠᱛᱚ ᱠᱷᱚᱱ ᱰᱩᱞᱟᱹᱣ ᱮᱦᱚᱵ ᱦᱩᱭᱩᱜᱼᱟ?,ᱳᱥᱤᱴᱳᱥᱤᱱ ᱫᱚ ᱰᱷᱮᱨ ᱠᱷᱚᱱ ᱡᱟᱹᱥᱛᱤ ᱫᱳᱠᱟᱱ ᱠᱚᱢ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱢᱟᱲᱟᱝ ᱠᱷᱚᱱ ᱰᱩᱵ ᱦᱟᱛᱟᱣ ᱛᱟᱭᱚᱢ 60 ᱠᱷᱚᱱ 90 ᱥᱟᱭᱠᱤᱱᱰ ᱛᱟᱭᱚᱢ ᱠᱷᱚᱱ ᱰᱩᱵᱟᱹᱧ ᱮᱦᱚᱵ ᱦᱳᱭᱳᱜᱼᱟ ᱾
5,ᱫᱚᱠ ᱨᱮᱭᱟᱜ ᱯᱳᱭᱞᱳ ᱠᱤᱪᱷᱩᱜᱟᱱ ᱥᱠᱩᱭᱟᱨᱴ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱪᱷᱟᱹᱲ ᱮᱢ ᱦᱩᱭᱩᱜᱼᱟ?,ᱯᱷᱳᱨᱢᱤᱞᱠ ᱨᱮ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱰᱷᱮᱨ ᱮᱞ ᱨᱮᱭᱟᱜ ᱮᱥᱮᱨᱟᱱ ᱠᱳᱥ ᱢᱮᱱᱟᱜᱼᱟ ᱟᱨ ᱥᱴᱨᱤᱯ ᱠᱟᱯ ᱨᱮ ᱵᱤᱰᱟᱹᱣ ᱠᱚᱨᱟᱣ ᱚᱠᱛᱚ ᱢᱮᱥᱴᱟᱭᱴᱤᱥ ᱞᱮᱠᱟᱱ ᱚᱵᱷᱟᱵᱽ ᱪᱤᱱᱦᱟᱹ ᱨᱮ ᱜᱚᱲᱚ ᱮᱢᱼᱟ ᱾
6,ᱰᱩᱞᱟᱹᱣ ᱨᱮ ᱥᱴᱨᱤᱯ ᱠᱟᱯ ᱨᱮᱱᱟᱜ ᱠᱟᱹᱢᱤ ᱪᱮᱫ?,"ᱱᱚᱶᱟ ᱫᱚ ᱯᱷᱳᱨᱢᱤᱞᱠ ᱥᱟᱧᱪᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱣᱦᱟᱨ ᱦᱩᱭᱩᱜᱼᱟ ᱟᱨ ᱦᱩᱭᱫᱟᱲᱮᱭᱟᱜ ᱜᱮᱢᱮᱧ ᱨᱮᱭᱟᱜ ᱪᱤᱱᱦᱟᱹ ᱮᱢ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱼᱥᱟᱣᱟᱱᱟᱜ دودھ (ᱜᱩᱛᱚᱱ, ᱯᱷᱞᱤᱠ) ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱣᱦᱟᱨ ᱦᱩᱭᱩᱜᱼᱟ ᱾"
7,ᱢᱟᱲᱟᱝᱼᱰᱤᱯᱤᱝ ᱛᱟᱭᱚᱢ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱴᱤᱭᱮᱴ ᱥᱩᱠᱤ ᱦᱩᱭᱩᱜᱼᱟ?,"ᱥᱟᱱᱟᱢ ᱴᱤᱭᱮᱴ ᱫᱚ ᱞᱟᱛᱟᱨ ᱥᱮᱫ ᱴᱩᱭᱤᱥᱴ ᱠᱚᱨᱟᱣ ᱥᱟᱶᱛᱮ ᱢᱤᱫᱴᱟᱝ ᱥᱩᱛᱚ, ᱢᱤᱫᱴᱟᱝ ᱵᱮᱣᱦᱟᱨ ᱴᱳᱣᱮᱞ ᱵᱮᱣᱦᱟᱨ ᱠᱟᱛᱮ ᱥᱩᱠᱟᱣ ᱦᱩᱭᱩᱜ ᱛᱟᱢᱟ, ᱡᱟᱦᱟᱸᱛᱮ ᱴᱤᱭᱮᱴ ᱨᱮᱭᱟᱜ ᱢᱩᱪᱟᱹᱫ ᱫᱚ ᱥᱩᱛᱚ ᱦᱳᱭᱳᱜᱼᱟ ᱾"
8,ᱰᱩᱞᱟᱹᱣ ᱢᱮᱥᱤᱱ ᱵᱮᱶᱦᱟᱨ ᱚᱠᱛᱚ ᱴᱤᱭᱮᱴ ᱵᱮᱱᱟᱣ ᱛᱟᱭᱚᱢ ᱪᱮᱫ ᱦᱚᱨᱟ ᱠᱚ ᱦᱟᱛᱟᱣᱼᱟ?,ᱰᱩᱞᱟᱹᱣ ᱤᱭᱩᱱᱤᱴ ᱫᱚ ᱱᱟᱯᱟᱭ ᱞᱮᱠᱟᱛᱮ ᱥᱮᱞᱮᱫ ᱢᱮ ᱟᱨ ᱠᱟᱹᱢᱤᱣᱟᱱ ᱰᱩᱞᱟᱹᱜ ᱰᱩᱞᱟᱣ ᱜᱚᱴᱟ ᱠᱚᱨᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱦᱳᱡᱽ ᱮᱥᱯᱳᱨᱴ ᱫᱚ ᱛᱷᱟᱯᱚᱱ ᱢᱮ ᱾
9,ᱰᱟᱣᱩᱱᱞᱳᱰ ᱛᱟᱭᱚᱢ ᱰᱩᱭᱩᱱᱞᱳᱰ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱟᱹᱰᱤ ᱞᱟᱹᱠᱛᱤ ᱠᱟᱱᱟ?,ᱯᱮᱥᱴᱼᱰᱤᱯᱤᱝ ᱴᱮᱹᱴ ᱥᱯᱤᱱᱠᱴᱟᱨ ᱵᱚᱱᱚᱫᱚᱞ ᱵᱟᱝ ᱦᱩᱭᱩᱜ ᱫᱷᱟᱹᱵᱤᱡ ᱴᱮᱹᱴ ᱚᱯᱷᱟᱨᱮᱱ ᱫᱚ ᱵᱮᱹᱴᱮᱨᱤᱭᱟ ᱨᱮᱭᱟᱜ ᱥᱮᱞᱮᱫ ᱠᱷᱚᱱ ᱮ ᱨᱩᱠᱷᱟᱹᱭᱼᱟ ᱾
10,ᱫᱟᱜᱫᱩᱱᱩᱞ ᱥᱟᱨᱦᱟᱶ ᱚᱠᱛᱚ ᱫᱟᱜ ᱨᱮᱭᱟᱜ ᱵᱮᱶᱦᱟᱨ ᱠᱚᱢ ᱦᱩᱭᱩᱜᱼᱟ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ?,"ᱫᱟᱜ ᱢᱮᱲᱤ ᱟᱨ ᱵᱮᱠᱴᱮᱨᱤᱭᱟ ᱫᱚ ᱴᱤᱭᱮᱴ ᱚᱯᱮᱞᱤᱝ ᱦᱟᱹᱵᱤᱡ ᱠᱚ ᱤᱫᱤ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱜᱷᱟᱹᱞ ᱨᱮᱭᱟᱜ ᱦᱤᱫᱤᱡ ᱮ ᱰᱷᱮᱨ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾"
11,ᱰᱚᱭᱟᱨᱤ ᱜᱳᱣ ᱨᱮ ᱢᱮᱥᱴᱟᱭᱴᱤᱥ ᱨᱮᱭᱟᱜ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱪᱤᱱᱦᱟᱹ ᱠᱚ ᱨᱮᱭᱟᱜ ᱛᱟᱹᱞᱤᱠᱟ ᱵᱮᱱᱟᱣ ᱢᱮ ᱾,"ᱜᱷᱩᱨᱩᱢ, ᱞᱟᱹᱞᱤᱥ, ᱜᱷᱩᱨᱩᱢ, ᱜᱷᱩᱨᱩᱢ, ᱟᱨ ᱵᱮᱼᱵᱟᱹᱛᱤᱞ ᱫᱳᱠᱟᱱ ᱡᱮᱞᱮᱠᱟ ᱜᱷᱩᱨᱩᱢ, ᱫᱟᱜ ᱥᱮ ᱫᱟᱜ ᱞᱮᱠᱟ ᱾"
12,ᱥᱤᱵᱠᱞᱤᱱᱤᱠᱮᱞ ᱢᱮᱥᱴᱟᱭᱴᱤᱥ ᱪᱮᱫ ᱞᱮᱠᱟᱛᱮ ᱧᱮᱞ ᱧᱟᱢᱚᱜᱼᱟ?,"ᱠᱮᱞᱤᱯᱷᱳᱨᱱᱤᱭᱟ ᱢᱮᱥᱴᱟᱭᱴᱤᱥ ᱴᱮᱥᱴ (ᱥᱤ ᱮᱢ ᱴᱤ) ᱵᱮᱶᱦᱟᱨ ᱠᱟᱛᱮ, ᱡᱟᱦᱟᱸ ᱫᱚ دودھ ᱨᱮ ᱡᱮᱞ ᱵᱮᱱᱟᱣ ᱛᱟᱞᱟᱛᱮ ᱥᱳᱢᱮᱴᱤᱠ ᱠᱳᱥ ᱨᱮᱭᱟᱜ ᱯᱚᱨᱤᱢᱟᱱ ᱵᱟᱹᱲᱛᱤ ᱠᱚ ᱪᱤᱱᱦᱟᱹ ᱞᱮᱫᱟ ᱾"
13,ᱠᱮᱞᱤᱯᱷᱳᱨᱱᱤᱭᱟ ᱢᱮᱥᱴᱟᱭᱴᱤᱥ ᱵᱤᱰᱟᱹᱣ ᱛᱟᱭᱚᱢ ᱨᱮᱭᱟᱜ ᱟᱹᱨᱤ ᱫᱚ ᱪᱮᱫ?,"ᱨᱤᱮᱡᱮᱱᱴ ᱫᱚ ᱥᱳᱢᱮᱴᱤᱠ ᱠᱳᱥ ᱠᱷᱚᱱ ᱰᱤ ᱮᱱ ᱮ ᱥᱟᱶ ᱮ ᱮᱥᱮᱨᱚᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱨᱮᱭᱟᱜ ᱚᱡᱮ ᱫᱚ ᱜᱮᱢᱮᱧ ᱜᱳᱰᱟᱹ ᱥᱮ ᱡᱮᱞ ᱵᱮᱱᱟᱣᱚᱜᱼᱟ ᱾"
14,ᱢᱮᱥᱴᱟᱭᱴᱤᱥ ᱨᱮ ᱜᱷᱟᱹᱞ ᱟᱠᱟᱱ ᱜᱳᱣ ᱠᱚ ᱢᱩᱪᱟᱹᱫ ᱫᱷᱟᱹᱵᱤᱡ ᱫᱚ ᱪᱮᱫ ᱞᱟᱹᱜᱤᱫ ᱰᱚᱞᱟᱣ ᱦᱩᱭᱩᱜᱼᱟ?,ᱱᱟᱯᱟᱭ ᱡᱤᱭᱟᱹᱞᱤ ᱠᱚ ᱴᱷᱮᱱ ᱜᱮᱢᱮᱧ ᱯᱟᱥᱱᱟᱣ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱟᱹᱜᱤᱫ ᱾
15,ᱰᱩᱞᱟᱹᱣ ᱚᱠᱛᱚ ᱴᱟᱣᱮᱞ ᱵᱮᱣᱦᱟᱨ ᱨᱮᱭᱟᱜ ᱟᱹᱨᱤ ᱪᱮᱫ?,ᱥᱩᱢᱩᱝ ᱠᱨᱚᱥᱼᱢᱚᱱᱩᱛᱚᱱᱟᱥᱚᱱ ᱵᱚᱱᱚᱫᱚᱞ ᱞᱟᱹᱜᱤᱫ ᱥᱟᱱᱟᱢ ᱡᱤᱭᱟᱹᱞᱤ ᱢᱤᱫᱴᱟᱝ ᱴᱳᱵᱷᱮᱞ ᱵᱮᱣᱦᱟᱨ ᱢᱮ ᱾
16,ᱴᱤᱭᱮᱴ ᱥᱩᱠᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱛᱮ ᱠᱟᱯᱟᱨ ᱟᱨ ᱠᱟᱯᱟᱨ ᱨᱮᱭᱟᱜ ᱴᱟᱣᱮᱞ ᱠᱚ ᱨᱮᱭᱟᱜ ᱵᱤᱰᱟᱹᱣ ᱢᱮ ᱾,"ᱠᱟᱯᱟᱨ ᱴᱟᱣᱮᱞ ᱠᱚᱫᱚ ᱱᱟᱯᱟᱭ ᱟᱨ ᱵᱮᱶᱦᱟᱨ ᱫᱟᱲᱮᱹᱭᱟᱜᱼᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱜᱚᱱᱚᱝ ᱟᱱ; ᱠᱟᱯᱟᱨ ᱴᱟᱣᱮᱞ ᱠᱚᱫᱚ ᱟᱨᱦᱚᱸ ᱵᱮᱶᱦᱟᱨ ᱦᱳᱭᱳᱜᱼᱟ, ᱢᱮᱱᱠᱷᱟᱱ ᱚᱱᱟ ᱠᱚ ᱱᱟᱯᱟᱭ ᱞᱮᱠᱟᱛᱮ ᱰᱟᱣᱩᱱᱞ ᱟᱨ ᱥᱮᱱᱤᱴᱤᱡ ᱨᱮᱭᱟᱜ ᱞᱟᱹᱠᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱾"
17,ᱮᱢᱚᱱ ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱰᱟᱣᱩᱱᱞᱳᱰ ᱛᱟᱭᱚᱢ ᱜᱮ ᱜᱳᱣ ᱠᱚ ᱛᱷᱟᱯᱚᱱ ᱛᱟᱦᱮᱸᱱᱟ?,ᱴᱤᱭᱮᱴ ᱠᱮᱱᱮᱞ ᱵᱚᱱᱚᱫᱚᱞᱚᱜ ᱞᱟᱦᱟ ᱜᱮ ᱱᱚᱶᱟ ᱨᱮ ᱵᱮᱠᱴᱤᱨᱤᱭᱟ ᱠᱚ ᱥᱮᱞᱮᱫᱚᱜ ᱨᱮᱭᱟᱜ ᱦᱤᱫᱤᱡ ᱮ ᱠᱚᱢᱼᱟ ᱾
18,ᱫᱚᱠ ᱨᱮᱭᱟᱜ ᱵᱮᱼᱵᱩᱴᱟᱹ ᱵᱚᱱᱫᱮᱡ ᱫᱚ ᱪᱮᱫ ᱚᱡᱮᱛᱮ ᱵᱚᱛᱚᱨᱟᱱ ᱠᱟᱱᱟ?,ᱱᱚᱶᱟ ᱫᱚ ᱯᱮᱛᱷᱳᱡᱮᱱ ᱠᱚ ᱫᱟᱨᱟᱭ ᱛᱮ ᱜᱷᱟᱹᱞ ᱨᱮᱭᱟᱜ ᱚᱡᱮ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱡᱟᱦᱟᱸ ᱠᱷᱟᱹᱛᱤᱨᱛᱮ ᱡᱚᱢᱟᱜ ᱨᱮᱭᱟᱜ ᱵᱷᱚᱭᱥᱤᱱ ᱨᱮᱭᱟᱜ ᱯᱟᱥᱱᱟᱣ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱾
